"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"157","(Intercept)",8596124.22011444,1787993837.78381,1.24984715028542,8596124.22011444,0.999951768376661,1787993837.78381,1.24984715028542,8596124.22011444,0.999951768376661,TRUE,1,0.749481274840614,NA,NA,0.0901716375383321,NA,NA,0.0901716375383321,0.0241952547570392,0,14956.8997197172,0.0006182744961,20825168.3276808,1e-04,"4_200_7",4,200,7,1798,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"158","Total_Sales_B",-0.905912985557204,-357500441.49044,-0.249900697966852,0,0,-357500441.49044,-0.249900697966852,0,0,FALSE,1,0.749481274840614,NA,NA,0.0901716375383321,NA,NA,0.0901716375383321,0.0241952547570392,0,14956.8997197172,0.0006182744961,20825168.3276808,1e-04,"4_200_7",4,200,7,1798,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"159","tv_A",1338.97226925776,24291.6963656209,1.69804318318019e-05,119.07694296873,1.38517309249497e-05,24291.6963656209,1.69804318318019e-05,119.07694296873,1.38517309249497e-05,TRUE,1,0.749481274840614,NA,NA,0.0901716375383321,NA,NA,0.0901716375383321,0.0241952547570392,0,14956.8997197172,0.0006182744961,20825168.3276808,1e-04,"4_200_7",4,200,7,1798,2,120000,576.923076923077,850.191812858327,273.26873593525,87.1103873604921,0.3,0.317108628711238,0.15099133809152,0.202430803046841,4.93995965509561,2,FALSE,0.710119429825715,0.116058909327666,0,1.67419200610377,0.528863101130784
"160","web_A",4050.15208776698,52312.0102706344,3.65672496072435e-05,295.548080625053,3.43798924135854e-05,52312.0102706344,3.65672496072435e-05,295.548080625053,3.43798924135854e-05,TRUE,1,0.749481274840614,NA,NA,0.0901716375383321,NA,NA,0.0901716375383321,0.0241952547570392,0,14956.8997197172,0.0006182744961,20825168.3276808,1e-04,"4_200_7",4,200,7,1798,2,280000,1346.15384615385,1685.1367041186,338.982857964754,0.193673169909784,0.7,0.682891371288761,0.000143871497647268,0.186828608109409,5.35249933144281,2,FALSE,0.712128183033752,0.115351374341466,0,1.67065281459679,0.00378106985241847
"161","(Intercept)",8226420.89349054,1711095545.84603,1.19609354721966,8226420.89349054,0.999697221084147,1711095545.84603,1.19609354721966,8226420.89349054,0.999697221084147,TRUE,1,0.700944001965536,NA,NA,0.0985203891896531,NA,NA,0.0985203891896531,0.00072039836868519,0,82974.1005454915,0.003884706832,20825168.3276808,1e-04,"4_203_4",4,203,4,1822,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"162","Total_Sales_B",-0.712020755681422,-280984750.81456,-0.196414541626456,0,0,-280984750.81456,-0.196414541626456,0,0,FALSE,1,0.700944001965536,NA,NA,0.0985203891896531,NA,NA,0.0985203891896531,0.00072039836868519,0,82974.1005454915,0.003884706832,20825168.3276808,1e-04,"4_203_4",4,203,4,1822,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"163","tv_A",8979.02749162208,137527.572203406,9.61348079460675e-05,674.154765702969,8.19251354361386e-05,137527.572203406,9.61348079460675e-05,674.154765702969,8.19251354361386e-05,TRUE,1,0.700944001965536,NA,NA,0.0985203891896531,NA,NA,0.0985203891896531,0.00072039836868519,0,82974.1005454915,0.003884706832,20825168.3276808,1e-04,"4_203_4",4,203,4,1822,3,120000,576.923076923077,841.163187446846,264.240110523769,252.110815223543,0.3,0.299490601428347,0.436992079720809,1.14606310169505,0.872552304075563,2,FALSE,0.710119429825715,0.116058909327666,0,1.67419200610377,0.351084300881233
"164","web_A",30097.8091495479,321677.396324827,0.00022485959884859,1817.38641991428,0.000220853780416464,321677.396324827,0.00022485959884859,1817.38641991428,0.000220853780416464,TRUE,1,0.700944001965536,NA,NA,0.0985203891896531,NA,NA,0.0985203891896531,0.00072039836868519,0,82974.1005454915,0.003884706832,20825168.3276808,1e-04,"4_203_4",4,203,4,1822,3,280000,1346.15384615385,1810.56316790593,464.409321752078,89.2138194557916,0.7,0.700509398571653,0.0662731230243023,1.14884784401724,0.870437286545487,2,FALSE,0.712128183033752,0.115351374341466,0,1.67065281459679,0.0801736763219167
"165","(Intercept)",8653433.73982049,1799914217.88266,1.25817975903497,8653433.73982049,0.999867643750076,1799914217.88266,1.25817975903497,8653433.73982049,0.999867643750076,TRUE,1,0.751700526056667,NA,NA,0.0897713507480581,NA,NA,0.0897713507480581,0.611912377043691,0,6317.20525916339,0.0002033650759,20825168.3276808,1e-04,"4_205_7",4,205,7,1843,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"166","Total_Sales_B",-0.936494290990878,-369568742.05373,-0.258336706385378,0,0,-369568742.05373,-0.258336706385378,0,0,FALSE,1,0.751700526056667,NA,NA,0.0897713507480581,NA,NA,0.0897713507480581,0.611912377043691,0,6317.20525916339,0.0002033650759,20825168.3276808,1e-04,"4_205_7",4,205,7,1843,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
