DATE,TP_LUMINOUS_SALES_VALUE,TV_LUMINOUS_SPEND,GL_LUMINOUS_SPEND,FB_LUMINOUS_SPEND,DV_LUMINOUS_SPEND,TV_LUMINOUS_TRP,GL_LUMINOUS_IMPRESSIONS,FB_LUMINOUS_IMPRESSIONS,DV_LUMINOUS_IMPRESSIONS,TP_LUMINOUS_AVG_PRICE,TP_COLGATE_NOAD_AVG_PRICE,TP_COMPETITORS_AVG_PRICE,TP_COMPETITORS_SALES_VALUE
2019-10-14,10560300.96244812,1068751.0,77183.0,0.0,0.0,100.93,3149577.0,0.0,0.0,247.2617268741217,116.35186484739437,210.70750346872416,20362984.07345917
2019-10-21,8687794.016003609,1154659.0,70943.0,0.0,0.0,118.33,2679562.0,0.0,0.0,254.7217292729812,117.38304743961471,216.0438198177019,17428471.047486644
2019-10-28,10790612.98418045,1459775.0,107758.0,85939.0,0.0,152.4,11497673.0,14025325.0,0.0,265.9489562615552,114.9194059404022,209.99931943765156,21678439.92962129
2019-11-04,8902461.153388023,1588740.0,121206.0,97135.0,0.0,149.32,15098760.0,15810130.0,0.0,274.20875041877275,118.54826428414928,208.38562773291,19990850.12388369
2019-11-11,9605646.917045116,0.0,118256.0,64059.0,0.0,0.0,13429495.0,10399742.0,0.0,269.6170559261876,117.24607749866766,194.3490731758484,20425698.82308505
2019-11-18,9351044.011890888,706464.0,118194.0,90986.0,0.0,76.54,14082813.0,14822947.0,0.0,272.8558891533908,118.37311002523548,209.2166004945354,20237940.053550526
2019-11-25,10371645.94206214,822509.0,101025.0,43700.0,0.0,86.78999999999999,12044889.0,7096307.0,0.0,275.1975676478729,118.6689264683262,204.8789594075373,21645461.871604435
2019-12-02,10285280.980437994,2004889.0,0.0,0.0,0.0,173.64,0.0,0.0,0.0,267.07385153317426,120.66278510644892,187.9485587085043,21549429.97768789
2019-12-09,11034947.001308205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.9623721678227,119.7361974323317,194.3149051139268,22657895.008632917
2019-12-16,10708491.952314973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.1126780834045,118.76153441767435,202.0113742767263,22470533.12397469
2019-12-23,9879209.001675248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0273040229142,118.81880371599703,206.08935769542728,20839962.004474364
2019-12-30,10336547.03681171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0397432449839,120.17145743331554,207.14854265406424,22360235.112957656
2020-01-06,9608782.021395862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.9943693115513,121.64663655361736,206.9997584794505,22392820.07173356
2020-01-13,10160333.058074117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.56717217839014,119.76296702602946,203.15604890034132,23022049.70703553
2020-01-20,8434149.943619967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.9929924259839,122.17860951847892,208.9022616922809,19665640.98755538
2020-01-27,9606735.782412812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.3732927826337,119.702564112778,199.1940495270403,21899592.952162027
2020-02-03,9964794.984221458,0.0,587737.0,89991.0,0.0,0.0,16367703.0,17305797.0,0.0,274.82266663611244,121.67707417647584,199.3128536612973,23060298.05192165
2020-02-10,9889394.134104252,49605.0,585335.0,154489.0,0.0,4.3100000000000005,16730986.0,29709243.0,0.0,273.14241086578824,120.58659140993592,197.7166664596396,22123110.96938327
2020-02-17,9218051.046073437,476658.0,9773.0,155716.0,0.0,40.82,360235.0,29945414.0,0.0,273.8658638134508,121.26251907731827,201.74284279883676,21001429.98187989
2020-02-24,11157544.715166092,1362366.0,65810.0,117720.0,0.0,126.5,1900056.0,22638032.0,0.0,268.5458927085785,120.36598874092,200.4878105788069,24395156.0976319
2020-03-02,10115577.910363674,1157493.0,0.0,5472.0,0.0,113.91,0.0,810623.0,0.0,266.3466088491967,120.93235118127326,207.08816299093985,22391821.851115678
2020-03-09,12376799.982690252,298734.0,525193.0,162210.0,0.0,43.13,15221648.0,24031241.0,0.0,261.0918939994742,120.22459253452598,216.7071845755252,27034654.89352448
2020-03-16,14726887.92026043,347394.0,846579.0,185314.0,0.0,61.88,24250745.0,27453854.0,0.0,263.7761824580062,120.91005553745542,205.81685222919504,32525442.92224641
2020-03-23,10026351.023972034,308908.0,385834.0,148833.0,0.0,38.16,10645238.0,22049403.0,0.0,263.6085394305234,119.06572258514709,205.95272917956908,21889685.92599221
2020-03-30,10922820.908844473,77333.0,67.0,17401.0,0.0,9.79,2201.0,2578152.0,0.0,267.5326041006269,119.56077845847769,197.3204930937248,24290350.000419423
2020-04-06,7327515.995681286,11051.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,272.9056198039071,121.23658789740853,205.61439773121492,17256394.12643062
2020-04-13,8404727.086298168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.2050199385578,122.1732023048519,212.5743393601129,19780679.92840428
